carrier,year,month,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,percent_cancelled,percent_delayed
9E,24161505,77219,2299778.0,356754.0,104348.92,13004.45,128706.74,383.5,110307.56999999999,52546.0,7558965.0,1423677.0,5721219.0,16226.0,7873468.0,2.284829231343199,15.512540775674868
AA,39816675,128370,12971696.0,2609248.0,765748.23,119149.18000000001,920543.25,5627.48,798179.58,265096.0,50786271.0,9402015.0,41530217.0,261495.0,56769717.0,2.043649496565445,20.114933313269137
AQ,507694,1683,89547.0,6374.0,3257.98,40.56,580.98,53.46,2441.05,1175.0,144922.0,2297.0,15933.0,1871.0,97398.0,1.3121600946988732,7.118049739243079
AS,26057481,84084,3237918.0,545441.0,152982.19999999998,10316.2,204172.78,4194.9800000000005,173775.65,41367.0,8803435.0,764873.0,7153474.0,148621.0,10013899.0,1.2775802228469035,16.84542350979858
B6,23328462,75237,4026171.0,953638.0,286805.63,15326.21,328188.95,3567.6299999999997,319750.09,74475.0,19170177.0,1720940.0,17305974.0,157547.0,24507437.0,1.8497724016193053,23.685978563752013
CO,13881575,45900,2447164.0,537252.0,112686.43,18188.02,286476.76,3691.37,116210.47,20395.0,6480851.0,1414448.0,14048057.0,122979.0,7933671.0,0.8334136984689217,21.954066012739645
DH,3855625,13539,570683.0,117901.0,26079.83,4094.16,41552.75,227.44,45946.86,16155.0,1368027.0,351463.0,2123010.0,7247.0,3183909.0,2.8308185104515116,20.659630653094624
DL,55522667,179123,13690415.0,2179117.0,650396.2,70187.03,876840.62,1959.6100000000001,579733.2000000001,156713.0,44856514.0,6726384.0,37452870.0,126949.0,36732059.0,1.144691377142329,15.917099664254152
EV,53652544,173550,6459010.0,1451006.0,450589.51,73375.59999999999,451079.05,1119.88,474843.96,191267.0,32796074.0,5933686.0,23179181.0,53061.0,31836588.0,2.9612432865098524,22.464835942350298
F9,24794963,80368,1665570.0,369671.0,97512.42,5530.2,147935.16,33.18,118659.06,20350.0,5755001.0,444069.0,6620531.0,3829.0,9053176.0,1.221803946997124,22.19486422065719
FL,13973026,45755,2427762.0,486307.0,91877.21,4329.18,186493.5,0.0,203606.87999999998,23771.0,4339106.0,335798.0,8814012.0,0.0,13821066.0,0.97913222136272,20.03108212419504
G4,12991186,39599,465457.0,105195.0,28540.61,5604.88,26518.92,572.74,43959.46,21857.0,2532792.0,466145.0,1254780.0,25099.0,3116963.0,4.69581508066266,22.600369099616078
HA,7207024,23102,1233676.0,103874.0,65668.84,2300.42,1897.92,478.39,33528.7,5601.0,3030528.0,120521.0,75454.0,18500.0,1338681.0,0.4540089942578116,8.41987685583573
HP,3168576,11178,503162.0,96342.0,32489.18,943.61,39557.94,704.7,22646.57,6465.0,1699448.0,71713.0,1324091.0,24268.0,1164624.0,1.2848744539532,19.147312396405134
MQ,49102978,160351,6802041.0,1437355.0,351350.26,73722.82,478769.6,1242.61,532315.01,242042.0,21699959.0,6312437.0,22735845.0,55894.0,32188108.0,3.5583731412380493,21.13123105256202
NK,7664582,23961,1211143.0,245107.0,54751.53,6188.02,125998.57,1843.6599999999999,56325.28,27629.0,3721051.0,529152.0,7453947.0,83602.0,4637419.0,2.2812335124754055,20.237659797397995
NW,16208470,53769,2766867.0,609742.0,197943.27000000002,30052.03,275015.41,1538.7600000000002,105193.77,33834.0,11727449.0,2341746.0,9428831.0,53355.0,5992565.0,1.2228271181809607,22.03727175899673
OH,24134539,77698,2684933.0,547127.0,187266.62,79979.01999999999,197567.23,1079.78,81235.81999999999,88874.0,11440558.0,5517880.0,8499170.0,49559.0,6184741.0,3.3101012204028923,20.377677953230116
OO,76811981,247804,11455015.0,1984694.0,681537.85,80634.16,476093.82,4988.0,741443.17,239240.0,45569683.0,7945340.0,24604117.0,206190.0,48288573.0,2.08851756195867,17.325983422981114
QX,1693846,4617,150656.0,20694.0,7042.43,652.47,5625.99,82.13,7290.89,2991.0,394981.0,44283.0,177435.0,3336.0,405547.0,1.9853175446049278,13.73592820730671
RU,8290574,26775,1185570.0,257634.0,40430.36,8828.84,133882.13,1136.97,73356.11,23600.0,2353165.0,760811.0,6328148.0,42621.0,4543330.0,1.9906036758689911,21.73081302664541
TZ,1852066,6351,181463.0,35298.0,6563.67,241.39,18176.4,336.15999999999997,9980.380000000001,1862.0,405504.0,23136.0,871968.0,12910.0,729633.0,1.0261044951312388,19.45189928525374
UA,38507668,123604,9254443.0,1814691.0,489111.98,50281.62,685964.37,698.12,588636.37,147139.0,30071021.0,4536307.0,33674261.0,43909.0,45853122.0,1.589928210698364,19.608862467465627
US,21493639,69028,5188612.0,997160.0,272573.01,18154.780000000002,431538.45999999996,3036.1400000000003,271859.01,76465.0,13704265.0,1477921.0,17059819.0,111415.0,15955145.0,1.4737081901672353,19.2182417956864
VX,2877293,9110,389060.0,79576.0,15351.16,6890.39,30819.07,337.40999999999997,26178.22,3550.0,837394.0,245503.0,2101557.0,18639.0,1692431.0,0.9124556623657019,20.453400503778337
WN,35386180,113969,22053649.0,4053401.0,1180656.22,91896.29,736789.87,14273.509999999998,2029785.81,339192.0,54507561.0,7291066.0,29457931.0,508468.0,105824742.0,1.538031189305679,18.379729359073412
XE,14814137,50007,2145095.0,468323.0,102311.54,13533.5,190487.83000000002,1793.8400000000001,160197.69,53709.0,6521417.0,1194826.0,10477038.0,59858.0,10881193.0,2.5038051927770097,21.83227316272706
YV,29242775,92794,2434582.0,470388.0,189954.30000000002,21373.73,113629.09,1523.63,143907.54,73618.0,12807672.0,1964530.0,5494074.0,59217.0,11510379.0,3.023845571847652,19.321099063412117
YX,8985865,27848,1228260.0,192090.0,45225.45,5942.66,81403.1,323.76,59195.71,37512.0,3425607.0,673231.0,4143724.0,14235.0,4665049.0,3.054076498461238,15.63919691270578
